model_family,feature_set_name,config_id,params,cv_auc_mean,cv_auc_min,cv_auc_max,cv_f1_mean,cv_f1_min,cv_f1_max,cv_precision_mean,cv_precision_min,cv_precision_max,cv_recall_mean,cv_recall_min,cv_recall_max,cv_accuracy_mean,cv_accuracy_min,cv_accuracy_max,cv_mae_mean,cv_mae_min,cv_mae_max,cv_rmse_mean,cv_rmse_min,cv_rmse_max
xgb,xgb_full_aircraft,xgb_03,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0}",0.9908804618271703,0.9893881100156408,0.9938582806562483,0.8908826076360044,0.8834991079653447,0.8965604020636108,0.9070080515489639,0.8931956429480832,0.9207567980316463,0.8754173748053674,0.863992357220337,0.8845527505349176,0.9627566067326194,0.9570673052552998,0.9772581904430225,5.69521198272705,4.34404993057251,6.324324607849121,17.383898615351928,13.409131005084685,20.269724340836895
xgb,xgb_full_aircraft,xgb_04,"{'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 5.0}",0.9902574397290771,0.988676971481877,0.9934282938560095,0.8868725820144135,0.8794784474715432,0.8927025286948027,0.9025881810612606,0.8892898417415505,0.9149700851990444,0.8717754662986203,0.8613850547832058,0.8809160416834019,0.9613648416379419,0.9554575212090585,0.9764774437031524,5.80085563659668,4.450109481811523,6.402022361755371,17.463548993428823,13.487310026031182,20.51310050871074
xgb,xgb_full_aircraft,xgb_02,"{'n_estimators': 350, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1.0}",0.9865544699907141,0.9844836767958427,0.9906417476800635,0.8640893984150289,0.8538479587048334,0.8708583796836522,0.8856284551619019,0.868623940804392,0.9075821850987098,0.8438165364221172,0.8239473762775285,0.856944152654723,0.9539395458857347,0.9466221415964818,0.971642732112819,6.906205081939698,5.31419038772583,7.618711471557617,19.437329596900888,15.066064436588006,22.666523802063942
xgb,xgb_full_aircraft,xgb_01,"{'n_estimators': 250, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0}",0.9848591688285919,0.9829025961787276,0.9891429899621313,0.8547212295732081,0.8399827700618182,0.8635717774521557,0.8714166397874236,0.8478097386726828,0.8944023811334282,0.838913255736275,0.8193696697085195,0.8521509891409919,0.9506581816451531,0.9433657082204974,0.9687132246661341,7.455706691741943,5.785025119781494,8.136597633361816,20.2524536832836,15.683628774867492,23.59686186018042
