feature_set_name,fold,train_years,val_year,mae,rmse
xgb_full_aircraft,1,"[2015, 2016, 2017, 2018]",2019,18.44984245300293,41.99176816651092
xgb_full_aircraft,2,"[2015, 2016, 2017, 2018, 2019]",2020,17.67063331604004,34.465895450702426
xgb_full_aircraft,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,17.52073860168457,41.780158748370766
xgb_full_aircraft,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,19.29102325439453,45.482872055210244
xgb_full_aircraft,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,19.592939376831055,47.37333543414745
