feature_set_name,fold,train_years,val_year,auc,f1,precision,recall,accuracy
xgb_full_aircraft,1,"[2015, 2016, 2017, 2018]",2019,0.8434756034883808,0.5396105580450979,0.7733297441419269,0.41437598736176934,0.8649854550891449
xgb_full_aircraft,2,"[2015, 2016, 2017, 2018, 2019]",2020,0.7899471231183188,0.392590939522428,0.6048686563058726,0.2906039381525043,0.9114103134391511
xgb_full_aircraft,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,0.8197203404929815,0.4276802330849603,0.8120004234820815,0.2902871741495955,0.8664757528006934
xgb_full_aircraft,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,0.8330283828276819,0.512875008700898,0.773000041964498,0.3837409552379762,0.8463539189096226
xgb_full_aircraft,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,0.8354715915571798,0.5136491535587435,0.7837084582576749,0.38201129354292024,0.8509081036442926
