icao24,snapshot_time,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category,latitude_mean_10s,latitude_std_10s,latitude_min_10s,latitude_max_10s,latitude_median_10s,latitude_count_10s,longitude_mean_10s,longitude_std_10s,longitude_min_10s,longitude_max_10s,longitude_median_10s,longitude_count_10s,velocity_mean_10s,velocity_std_10s,velocity_min_10s,velocity_max_10s,velocity_median_10s,velocity_count_10s,geo_altitude_mean_10s,geo_altitude_std_10s,geo_altitude_min_10s,geo_altitude_max_10s,geo_altitude_median_10s,geo_altitude_count_10s,vertical_rate_mean_10s,vertical_rate_std_10s,vertical_rate_min_10s,vertical_rate_max_10s,vertical_rate_median_10s,vertical_rate_count_10s,true_track_mean_10s,true_track_std_10s,true_track_min_10s,true_track_max_10s,true_track_median_10s,true_track_count_10s,velocity_mean_1min,velocity_std_1min,velocity_min_1min,velocity_max_1min,velocity_median_1min,velocity_count_1min,geo_altitude_mean_1min,geo_altitude_std_1min,geo_altitude_min_1min,geo_altitude_max_1min,geo_altitude_median_1min,geo_altitude_count_1min,vertical_rate_mean_1min,vertical_rate_std_1min,vertical_rate_min_1min,vertical_rate_max_1min,vertical_rate_median_1min,vertical_rate_count_1min
a0345f,2026-02-16 21:48:39+00:00,RPA4338,United States,2026-02-16 21:48:35+00:00,2026-02-16 21:48:35+00:00,-77.1975,38.9747,2186.94,False,133.28,281.35,15.61,,2194.56,,False,0,0,38.90146875,0.11713403526619197,38.658,39.117,38.9471,32,-77.246075,0.22817419633027847,-77.6332,-76.9127,-77.21180000000001,32,78.5840625,79.95977847196859,0.0,252.49,57.515,32,3012.7575,3703.296607851251,60.96,12420.6,1203.96,32,0.934375,7.414449248682623,-9.1,17.56,-0.33,32,189.3371875,105.99410364715442,0.0,355.51,180.0,32,76.276,75.78299512011255,0.0,252.49,71.73,65,2801.3464615384614,3491.846180989198,15.24,12420.6,1196.34,65,0.7149230769230769,7.475181879701349,-9.75,17.56,-0.33,65
a0345f,2026-02-16 21:49:09+00:00,RPA4338,United States,2026-02-16 21:49:04+00:00,2026-02-16 21:49:05+00:00,-77.243,38.9819,2621.28,False,135.29,281.18,14.63,,2628.9,,False,0,0,38.89381612903226,0.10894888433503772,38.6704,39.0972,38.9241,31,-77.2383,0.2243166660475024,-77.6559,-76.9346,-77.1833,31,79.27483870967743,81.1727242313561,0.0,251.43,70.75,31,3130.590967741936,3723.1422394059878,60.96,12420.6,1363.98,31,1.5412903225806451,7.560635221080075,-9.1,17.56,-0.33,31,187.59451612903226,104.9852718825744,0.0,357.19,180.0,31,82.29983606557377,83.40546162156296,0.0,251.43,69.68,61,3262.8590163934427,3777.6577672281296,60.96,12420.6,1363.98,61,1.6198360655737705,7.188386812955852,-9.1,17.56,0.0,61
a0345f,2026-02-16 21:49:39+00:00,RPA4338,United States,2026-02-16 21:49:35+00:00,2026-02-16 21:49:35+00:00,-77.2892,38.989,3048.0,False,136.91,281.27,15.93,,3063.24,,False,0,0,38.90779333333333,0.10163049682579403,38.6847,39.0867,38.928250000000006,30,-77.24394666666667,0.23108696487109026,-77.6535,-76.877,-77.1412,30,85.42566666666667,86.92865357066792,0.0,251.43,52.575,30,3399.536,3892.014328479135,60.96,12420.6,1497.33,30,1.701,6.9109839361350875,-9.1,17.56,0.0,30,200.7853333333333,105.13467844604854,0.0,355.34,180.815,30,82.29983606557377,83.40546162156296,0.0,251.43,69.68,61,3262.8590163934427,3777.6577672281296,60.96,12420.6,1363.98,61,1.6198360655737705,7.188386812955852,-9.1,17.56,0.0,61
a0345f,2026-02-16 21:50:09+00:00,RPA4338,United States,2026-02-16 21:50:04+00:00,2026-02-16 21:50:05+00:00,-77.3381,38.992,3307.08,False,149.1,265.65,9.1,,3322.32,,False,0,0,38.91027096774194,0.09891496413097665,38.6884,39.0691,38.9105,31,-77.26094193548387,0.24264810154377084,-77.6597,-76.9334,-77.1547,31,84.18193548387096,86.39929526793432,0.0,250.71,59.87,31,3338.7890322580643,3868.4022033352517,60.96,12420.6,1744.98,31,1.887741935483871,7.0969715182733255,-8.78,19.83,0.0,31,204.11935483870968,104.70025256051946,0.0,355.18,182.81,31,85.92174603174603,85.12578085549079,0.0,251.1,73.23,63,3366.8304761904765,3921.9737443543154,60.96,12420.6,1638.3,63,2.023015873015873,7.3466541945693,-8.78,19.83,0.0,63
a0345f,2026-02-16 21:50:39+00:00,RPA4338,United States,2026-02-16 21:50:34+00:00,2026-02-16 21:50:35+00:00,-77.3903,38.9878,3657.6,False,151.57,263.96,12.68,,3672.84,,False,0,0,38.9032375,0.11180351933406973,38.6772,39.108,38.89495,32,-77.242396875,0.233791388241152,-77.6426,-76.9017,-77.19565,32,87.6071875,85.22206787637225,0.0,251.1,81.89,32,3393.995625,4034.897691208809,60.96,12420.6,1394.46,32,2.1540625,7.692097687541249,-8.45,18.53,0.0,32,198.858125,110.92407099184209,0.0,355.97,182.81,32,85.92174603174603,85.12578085549079,0.0,251.1,73.23,63,3366.8304761904765,3921.9737443543154,60.96,12420.6,1638.3,63,2.023015873015873,7.3466541945693,-8.78,19.83,0.0,63
a0345f,2026-02-16 21:51:09+00:00,RPA4338,United States,2026-02-16 21:51:05+00:00,2026-02-16 21:51:05+00:00,-77.4429,38.9834,4046.22,False,152.14,263.79,13.33,,4061.46,,False,0,0,38.89872424242424,0.12301358672496103,38.6793,39.1322,38.9128,33,-77.26295151515151,0.22391229466189763,-77.6464,-76.9445,-77.2619,33,87.0060606060606,80.03701569193602,0.0,227.11,97.02,33,3210.56,3712.3512049777833,60.96,12420.6,1447.8,33,1.9206060606060606,7.867945625842373,-6.83,20.48,-0.33,33,210.40121212121213,114.25504575175158,0.0,355.44,225.18,33,86.06876923076923,77.92933109771016,0.0,227.35,96.55,65,3093.9544615384616,3665.396972908439,22.86,12420.6,1234.44,65,1.4903076923076923,7.231506363050935,-7.48,20.48,-0.33,65
a0345f,2026-02-16 21:51:39+00:00,RPA4338,United States,2026-02-16 21:51:34+00:00,2026-02-16 21:51:35+00:00,-77.4941,38.9792,4411.98,False,153.16,263.83,11.7,,4427.22,,False,0,0,38.8953375,0.1171509578940077,38.6578,39.0824,38.9083,32,-77.242859375,0.22943411431715957,-77.6321,-76.8542,-77.26935,32,85.1021875,76.9629800297551,0.0,227.35,88.13,32,2973.705,3671.720951193358,22.86,12420.6,1196.3400000000001,32,1.0465624999999998,6.607674721244545,-7.48,17.56,-0.165,32,220.885,112.53778072417538,0.0,355.76,226.71,32,86.06876923076923,77.92933109771016,0.0,227.35,96.55,65,3093.9544615384616,3665.396972908439,22.86,12420.6,1234.44,65,1.4903076923076923,7.231506363050935,-7.48,20.48,-0.33,65
a0345f,2026-02-16 21:52:09+00:00,RPA4338,United States,2026-02-16 21:52:04+00:00,2026-02-16 21:52:05+00:00,-77.5477,38.9746,4754.88,False,154.7,263.89,10.08,,4770.12,,False,0,0,38.92171052631579,0.1167160467197105,38.6631,39.0941,38.938900000000004,38,-77.29611315789474,0.25348424885342696,-77.6551,-76.8895,-77.3474,38,85.6971052631579,75.65455367255844,0.0,226.26,72.13,38,3078.27947368421,4076.328120433579,7.62,13098.78,1028.7,38,0.18789473684210523,5.438164017433834,-10.08,15.93,-0.33,38,217.38763157894735,110.510682532045,0.0,355.55,225.05,38,84.89898734177216,75.13605847778257,0.0,226.99,73.26,79,3059.2853164556964,3990.750310368946,7.62,13106.4,944.88,79,0.6992405063291139,5.871567687430827,-10.08,19.18,-0.33,79
a0345f,2026-02-16 21:52:39+00:00,RPA4338,United States,2026-02-16 21:52:35+00:00,2026-02-16 21:52:35+00:00,-77.6016,38.9701,5044.44,False,158.33,263.84,10.08,,5059.68,,False,0,0,38.915982926829265,0.12423385589773696,38.658,39.1411,38.9441,41,-77.30205853658536,0.24353853799307296,-77.6323,-76.8971,-77.3605,41,84.15926829268294,75.58489642085394,0.0,226.99,73.26,41,3041.680975609756,3960.428531505022,60.96,13106.4,944.88,41,1.1731707317073172,6.276353813729908,-8.78,19.18,0.0,41,203.95658536585364,110.50851421066515,0.0,355.8,208.85,41,84.89898734177216,75.13605847778257,0.0,226.99,73.26,79,3059.2853164556964,3990.750310368946,7.62,13106.4,944.88,79,0.6992405063291139,5.871567687430827,-10.08,19.18,-0.33,79
a0345f,2026-02-16 21:53:09+00:00,RPA4338,United States,2026-02-16 21:53:04+00:00,2026-02-16 21:53:04+00:00,-77.6562,38.9655,5334.0,False,160.95,263.76,11.05,,5356.86,,False,0,0,38.909425,0.1156003299391976,38.6658,39.1177,38.92275,40,-77.320555,0.23584629278518057,-77.6562,-76.9336,-77.39675,40,78.914,73.76875931081129,0.0,227.72,71.69,40,2882.2650000000003,3848.006465733014,60.96,13106.4,1047.75,40,1.6982500000000003,5.92781314262234,-5.85,17.23,0.0,40,200.2185,115.26318031424364,0.0,355.75,201.56,40,79.80125000000001,74.45762003110363,0.0,227.72,71.69,80,3070.76475,3954.8093628912884,60.96,13106.4,1047.75,80,1.405875,5.770776376205997,-5.85,20.48,0.0,80
