feature_set_name,fold,train_years,val_year,mae,rmse
xgb_full,1,"[2015, 2016, 2017, 2018]",2019,18.675350189208984,41.37804463873323
xgb_full,2,"[2015, 2016, 2017, 2018, 2019]",2020,17.875019073486328,34.94927441631031
xgb_full,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,17.596078872680664,41.41858896339601
xgb_full,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,19.582735061645508,45.06667965619805
xgb_full,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,19.744314193725586,47.12634696350864
