feature_set_name,fold,train_years,val_year,auc,f1,precision,recall,accuracy
xgb_2hop_propagation,1,"[2015, 2016, 2017, 2018]",2019,0.8373419639336099,0.5287143862655691,0.7621958999948417,0.40473343266131967,0.8621674350629099
xgb_2hop_propagation,2,"[2015, 2016, 2017, 2018, 2019]",2020,0.7919098886871071,0.3937222366475475,0.596412471560264,0.29385565880965864,0.9112424594342488
xgb_2hop_propagation,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,0.8127398569513196,0.41395182930529467,0.8118655531462178,0.27779714636193426,0.8647925424306419
xgb_2hop_propagation,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,0.8263307597246535,0.5079450503037298,0.7645287308169486,0.38030933746813106,0.8446696640190224
xgb_2hop_propagation,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,0.8292314929535822,0.5056641019095893,0.7718016611354852,0.3760069820798586,0.8488534445721285
