feature_set_name,fold,train_years,val_year,auc,f1,precision,recall,accuracy
xgb_full,1,"[2015, 2016, 2017, 2018]",2019,0.8392683366992758,0.5293429170268446,0.7719014452232484,0.40277642625401583,0.863179479214472
xgb_full,2,"[2015, 2016, 2017, 2018, 2019]",2020,0.7941801278232202,0.39667526061042696,0.6155059042914118,0.2926348672911425,0.912696512230842
xgb_full,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,0.8154358192799954,0.42653693457446107,0.8098180474482467,0.28951265662480075,0.8661847158345981
xgb_full,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,0.827756681751253,0.5158975070881066,0.76210827630895,0.3899259481629854,0.8457310769731758
xgb_full,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,0.8310452921442757,0.5107741938923536,0.7745983817666499,0.3810056479935559,0.8499437314451281
