feature_set_name,fold,train_years,val_year,mae,rmse
xgb_schedule,1,"[2015, 2016, 2017, 2018]",2019,24.402149200439453,49.468377387257455
xgb_schedule,2,"[2015, 2016, 2017, 2018, 2019]",2020,21.669330596923828,39.22844128268099
xgb_schedule,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,21.999298095703125,48.004106981688295
xgb_schedule,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,25.51015281677246,53.12987799296056
xgb_schedule,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,24.992168426513672,55.41151756897545
