model_family,config_id,params,cv_auc_mean,cv_auc_std,cv_f1_mean,cv_f1_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_accuracy_mean,cv_accuracy_std,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std
xgb_full_propagation,xgb_05,"{'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 5.0}",0.9894701021029085,0.000688446741501233,0.8828251361641382,0.006889842195292166,0.8990464720930709,0.007273018124043794,0.8672043134606519,0.008018789548011624,0.9597306516381862,0.004434175635956085,5.755838306323403,0.5287187317404299,14.962438661964587,1.1815880740374112
xgb_full_propagation,xgb_03,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0}",0.98824752132497,0.0007381816345098177,0.8747864817332076,0.0076878837790683805,0.8906754778563882,0.00784368373214514,0.8594859008293316,0.009131171296731007,0.9569775221383097,0.004640059470439432,6.2013439648728355,0.5741152670210541,15.716316756513343,1.2505511652410952
xgb_full_propagation,xgb_04,"{'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 5.0}",0.9874245238452453,0.0007973539884963008,0.8700709198307518,0.0077985563740416005,0.8851398868963173,0.007858203400632435,0.855532824760488,0.00905769123339756,0.9553092142550698,0.004891740673612103,6.359698667173529,0.5801001157650708,15.892969149270117,1.2748151365246998
xgb_full_propagation,xgb_02,"{'n_estimators': 350, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1.0}",0.9830847408500667,0.000940081345001246,0.8460742268787015,0.010295211941265743,0.8627748042143067,0.010960809274088872,0.8300475789407198,0.01121086583956642,0.9472399595883665,0.005409283837678903,7.513387653860046,0.7297804367368704,17.505492152640244,1.4729128948924632
xgb_full_propagation,xgb_01,"{'n_estimators': 250, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 1.0}",0.9807816056346396,0.0011619080754100078,0.8350757150324412,0.010274418968470695,0.8472049947778066,0.010898036276692946,0.823312388337783,0.010601684112899534,0.9431546007249253,0.006014996133145434,7.995218609238001,0.7320265465933412,18.20582885183295,1.5686171440876857
