feature_set_name,fold,train_years,val_year,mae,rmse
xgb_full_aircraft,1,"[2015, 2016, 2017, 2018]",2019,18.686853408813477,41.344919201154575
xgb_full_aircraft,2,"[2015, 2016, 2017, 2018, 2019]",2020,17.84480857849121,34.80800085940192
xgb_full_aircraft,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,17.571748733520508,41.53916314991568
xgb_full_aircraft,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,19.520198822021484,44.9322447270436
xgb_full_aircraft,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,19.81736946105957,47.43347263454232
