feature_set_name,fold,train_years,val_year,mae,rmse
xgb_2hop_propagation,1,"[2015, 2016, 2017, 2018]",2019,18.554752349853516,42.963030869392526
xgb_2hop_propagation,2,"[2015, 2016, 2017, 2018, 2019]",2020,18.117145538330078,36.089890892178865
xgb_2hop_propagation,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,17.443187713623047,43.1143201789404
xgb_2hop_propagation,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,19.34813690185547,46.0207207492587
xgb_2hop_propagation,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,19.793664932250977,49.49167879079523
