feature_set_name,fold,train_years,val_year,auc,f1,precision,recall,accuracy
xgb_context,1,"[2015, 2016, 2017, 2018]",2019,0.6964954338964321,0.1897829418357311,0.5655137161356278,0.11402441957138637,0.814187643020595
xgb_context,2,"[2015, 2016, 2017, 2018, 2019]",2020,0.6563146223862271,0.06028058781899172,0.5956396544631839,0.03174672776303962,0.9021307683469582
xgb_context,3,"[2015, 2016, 2017, 2018, 2019, 2020]",2021,0.6837028792968762,0.03450290770472189,0.8458390177353342,0.01761063455092882,0.8307332826006361
xgb_context,4,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]",2022,0.6917233787202723,0.12004930051714718,0.7137568935559416,0.06553601775743072,0.7973781725034342
xgb_context,5,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2023,0.7021030831891868,0.11658462703521394,0.720571027381231,0.06342307454631595,0.8018037661050545
